stocfl,stocsu,stocsc
"dMethoxDO ","H2O       ",   3.00000
"dMethoxSu ","CH4       ",  -1.00000
"dMethoxSu ","SO4       ",  -2.67000
"dMethoxSu ","TIC       ",   1.00000
"dMethoxSu ","SUD       ",   2.67000
"dMethoxSu ","H2O       ",   3.00000
"dMethoxSu ","H+        ",   0.33300
"dioo      ","FeIId     ",  -1.00000
"dioo      ","OXY       ",  -0.14300
"dioo      ","FeIIId    ",   1.00000
"dion      ","FeIId     ",  -1.00000
"dion      ","NO3       ",  -0.05000
"dion      ","FeIIId    ",   1.00000
"dFeSox    ","FeS       ",  -1.00000
"dFeSox    ","OXY       ",  -1.14300
"dFeSox    ","FeIId     ",   1.00000
"dFeSox    ","SO4       ",   0.57100
"dFeS2ox   ","FeS2      ",  -1.00000
"dFeS2ox   ","OXY       ",  -2.00000
"dFeS2ox   ","FeIId     ",   1.00000
"dFeS2ox   ","SO4       ",   1.14300
"dFeS2ox   ","Alka      ",  -2.39200
"dire1     ","FeIIIpa   ",  -1.00000
"dire1     ","SUD       ",  -0.07140
"dire1     ","FeIId     ",   1.00000
"dire1     ","SO4       ",   0.07140
"dire1     ","Alka      ",   2.09300
"dire2     ","FeIIIpc   ",  -1.00000
"dire2     ","SUD       ",  -0.07140
"dire2     ","FeIId     ",   1.00000
"dire2     ","SO4       ",   0.07140
"dire2     ","Alka      ",   2.09300
"dire3     ","FeIIIpa   ",  -1.00000
"dire3     ","Fes       ",  -0.12500
"dire3     ","FeIId     ",   1.12500
"dire3     ","SO4       ",   0.07140
"dire3     ","Alka      ",   2.12600
"dire4     ","FeIIIpc   ",  -1.00000
"dire4     ","Fes       ",  -0.12500
"dire4     ","FeIId     ",   1.12500
"dire4     ","SO4       ",   0.07140
"dire4     ","Alka      ",   2.12600
"dpfe3     ","FeIIId    ",  -1.00000
"dpfe3     ","FeIIIpa   ",   1.00000
"dpfe3     ","Alka      ",  -3.58800
"ddfe3     ","FeIIId    ",   1.00000
"ddfe3     ","FeIIIpa   ",  -1.00000
