old_name,new_name,old_default,configuration,serial,action_type
"C-NDetCS3 ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"C-PDetCS3 ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"C-SDetCS3 ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"C-NOOCS3  ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"C-POOCS3  ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"C-SOOCS3  ","n.a.      ",    2.00000    ,"          ",2012032801,         7
"Sum_ResS1 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sum_ResS2 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sum_BurS1 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sum_BurS2 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sum_DigS1 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Sum_DigS2 ","n.a.      ",    0.00000    ,"          ",2012032801,         5
"Res_Cd    ","S12TraCd  ",    0.00000    ,"          ",2012032801,         1
"Res_Cu    ","S12TraCu  ",    0.00000    ,"          ",2012032801,         1
"Res_Zn    ","S12TraZn  ",    0.00000    ,"          ",2012032801,         1
"Res_Hg    ","S12TraHg  ",    0.00000    ,"          ",2012032801,         1
"Res_Ni    ","S12TraNi  ",    0.00000    ,"          ",2012032801,         1
"Res_Pb    ","S12TraPb  ",    0.00000    ,"          ",2012032801,         1
"Res_Cr    ","S12TraCr  ",    0.00000    ,"          ",2012032801,         1
"Res_As    ","S12TraAs  ",    0.00000    ,"          ",2012032801,         1
"Res_Va    ","S12TraVa  ",    0.00000    ,"          ",2012032801,         1
"Res_153   ","S12Tra153 ",    0.00000    ,"          ",2012032801,         1
"Res_HCB   ","S12TraHCB ",    0.00000    ,"          ",2012032801,         1
"Res_HCH   ","S12TraHCH ",    0.00000    ,"          ",2012032801,         1
"Res_Flu   ","S12TraFlu ",    0.00000    ,"          ",2012032801,         1
"Res_Bap   ","S12TraBap ",    0.00000    ,"          ",2012032801,         1
"Res_Atr   ","S12TraAtr ",    0.00000    ,"          ",2012032801,         1
"Res_Mef   ","S12TraMef ",    0.00000    ,"          ",2012032801,         1
"Res_Diu   ","S12TraDiu ",    0.00000    ,"          ",2012032801,         1
"BurS1_Cd  ","S12TraCd  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Cu  ","S12TraCu  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Zn  ","S12TraZn  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Hg  ","S12TraHg  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Ni  ","S12TraNi  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Pb  ","S12TraPb  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Cr  ","S12TraCr  ",    0.00000    ,"          ",2012032801,         1
"BurS1_As  ","S12TraAs  ",    0.00000    ,"          ",2012032801,         1
"BurS1_Va  ","S12TraVa  ",    0.00000    ,"          ",2012032801,         1
"BurS1_153 ","S12Tra153 ",    0.00000    ,"          ",2012032801,         1
"BurS1_HCB ","S12TraHCB ",    0.00000    ,"          ",2012032801,         1
"BurS1_HCH ","S12TraHCH ",    0.00000    ,"          ",2012032801,         1
"BurS1_Flu ","S12TraFlu ",    0.00000    ,"          ",2012032801,         1
"BurS1_Bap ","S12TraBap ",    0.00000    ,"          ",2012032801,         1
"BurS1_Atr ","S12TraAtr ",    0.00000    ,"          ",2012032801,         1
"BurS1_Mef ","S12TraMef ",    0.00000    ,"          ",2012032801,         1
"BurS1_Diu ","S12TraDiu ",    0.00000    ,"          ",2012032801,         1
"DigS1_Cd  ","S12TraCd  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Cu  ","S12TraCu  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Zn  ","S12TraZn  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Hg  ","S12TraHg  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Ni  ","S12TraNi  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Pb  ","S12TraPb  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Cr  ","S12TraCr  ",    0.00000    ,"          ",2012032801,         1
"DigS1_As  ","S12TraAs  ",    0.00000    ,"          ",2012032801,         1
"DigS1_Va  ","S12TraVa  ",    0.00000    ,"          ",2012032801,         1
"DigS1_153 ","S12Tra153 ",    0.00000    ,"          ",2012032801,         1
"DigS1_HCB ","S12TraHCB ",    0.00000    ,"          ",2012032801,         1
"DigS1_HCH ","S12TraHCH ",    0.00000    ,"          ",2012032801,         1
"DigS1_Flu ","S12TraFlu ",    0.00000    ,"          ",2012032801,         1
"DigS1_Bap ","S12TraBap ",    0.00000    ,"          ",2012032801,         1
"DigS1_Atr ","S12TraAtr ",    0.00000    ,"          ",2012032801,         1
"DigS1_Mef ","S12TraMef ",    0.00000    ,"          ",2012032801,         1
"DigS1_Diu ","S12TraDiu ",    0.00000    ,"          ",2012032801,         1
"BurS2_Cd  ","S12TraCd  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Cu  ","S12TraCu  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Zn  ","S12TraZn  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Hg  ","S12TraHg  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Ni  ","S12TraNi  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Pb  ","S12TraPb  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Cr  ","S12TraCr  ",    0.00000    ,"          ",2012032801,         1
"BurS2_As  ","S12TraAs  ",    0.00000    ,"          ",2012032801,         1
"BurS2_Va  ","S12TraVa  ",    0.00000    ,"          ",2012032801,         1
"BurS2_153 ","S12Tra153 ",    0.00000    ,"          ",2012032801,         1
"BurS2_HCB ","S12TraHCB ",    0.00000    ,"          ",2012032801,         1
"BurS2_HCH ","S12TraHCH ",    0.00000    ,"          ",2012032801,         1
"BurS2_Flu ","S12TraFlu ",    0.00000    ,"          ",2012032801,         1
"BurS2_Bap ","S12TraBap ",    0.00000    ,"          ",2012032801,         1
